Rubber	Speed	Spin	Control	Tacky	Weight	SpongeHardness	Gears	ThrowAngle	Consistency	Durable	Overall	Ratings	Price
Nittaku Hurricane 2 (H2) NT50 Type	7.0	9.0	7.0	10.0	8.0	7.0	1.0	6.0	(not rated)	10.0	6.5	1	40
Nittaku Hurricane 2 (H2) Pro	8.3	9.5	9.0	7.3	6.7	6.5	5.8	4.7	8.0	6.4	8.8	6	40
Nittaku Hurricane 3 (H3)	9.1	9.4	8.7	5.9	7.1	7.6	8.7	6.6	5.7	7.0	9.0	12	35
Nittaku Hurricane 3 (H3) NT50 Type	8.0	8.8	9.0	6.5	8.0	7.5	7.0	5.0	7.5	10.0	8.0	2	47
Nittaku Hurricane 3 (H3) Pro	8.1	9.1	8.7	7.4	5.7	7.6	9.4	4.7	9.2	8.2	8.7	7	0
Nittaku Hurricane 3 NEO	7.8	9.2	9.3	7.9	6.3	6.7	6.4	2.9	10.0	6.2	8.9	7	40
Nittaku Hurricane Pro 3	7.8	9.7	9.5	9.0	5.0	6.0	10.0	2.0	10.0	7.5	9.7	2	55
Nittaku Hurricane Pro III Turbo Blue	8.5	9.8	9.3	9.0	9.0	10.0	8.5	6.0	10.0	8.5	10.0	2	45
Nittaku Hurricane Pro III Turbo Orange	8.6	9.3	8.9	9.1	8.5	8.9	9.1	5.6	8.4	7.9	9.1	22	55
Nittaku J.O. Waldner	8.3	8.7	8.7	3.5	3.2	4.3	8.2	4.0	9.2	7.7	9.2	6	29
Nittaku JO Waldner SC	8.5	9.0	8.9	6.0	2.7	1.0	9.0	4.7	10.0	5.7	9.3	3	29
Nittaku Magic Carbon	7.8	8.0	8.6	2.4	4.8	4.6	6.2	4.8	9.1	7.2	8.7	13	25
Nittaku Magic Carbon Sound	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	30
Nittaku Micro	8.2	8.0	8.5	3.0	2.0	3.3	6.0	4.5	7.5	5.7	7.7	4	18
Nittaku Midship	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	10.0	(not rated)	10.0	(not rated)	(not rated)	1	31
Nittaku Moristo 2000	9.3	8.8	7.8	1.0	6.0	6.0	7.0	4.0	10.0	5.0	8.8	4	35
Nittaku Moristo 2000 NX	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	47
Nittaku Moristo DF	9.0	7.5	8.5	6.5	2.0	5.0	4.0	2.0	7.5	8.5	8.5	2	27
Nittaku Moristo FG	8.2	8.0	7.3	2.0	6.0	5.0	1.0	2.0	10.0	5.0	7.9	1	40
Nittaku Moristo RS Hard	9.2	9.0	7.8	3.5	4.0	5.0	7.0	6.0	5.0	10.0	9.0	2	44
Nittaku Moristo RS Soft	9.0	7.9	8.0	3.3	4.0	3.0	8.5	3.5	10.0	6.4	9.0	5	44
Nittaku Narucross EX Hard	9.4	8.7	8.5	4.3	5.0	6.8	9.3	4.8	10.0	8.0	9.4	7	50
Nittaku Narucross EX Soft	8.8	9.4	8.6	2.6	3.1	2.8	9.3	3.1	10.0	6.8	9.1	10	39
Nittaku Narucross GS Hard	9.0	8.5	8.0	2.0	4.0	7.0	(not rated)	2.0	(not rated)	(not rated)	8.9	1	55
Nittaku Narucross GS Soft	9.1	9.3	8.8	5.8	4.3	3.0	6.1	5.4	9.4	8.3	9.2	8	55
Nittaku Narucross GS Super-Soft	8.0	9.1	8.1	3.0	5.0	1.7	8.1	5.0	9.2	5.9	8.9	9	53
Nittaku Nodias	7.5	8.4	8.2	3.2	6.5	7.3	6.4	3.6	8.8	7.3	7.8	5	38
Nittaku Nodias A-1 Hard	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	43
Nittaku Nodias A-1 Soft	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	43
Nittaku Refoma	8.2	8.3	8.9	1.2	3.2	2.8	7.6	3.7	10.0	8.5	8.5	6	44
Nittaku Renanos Bright Hard	8.4	7.3	7.6	3.5	6.0	6.0	(not rated)	8.0	(not rated)	(not rated)	7.5	2	48
Nittaku Renanos Bright Soft	8.4	7.8	8.1	3.4	2.4	1.8	6.3	4.5	8.8	5.5	9.0	5	48
Nittaku Renanos Hard	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	32
Nittaku Renanos Hold	9.0	9.4	9.1	3.9	4.8	6.0	8.8	5.1	9.4	7.9	9.4	36	40
Nittaku Renanos Soft	8.3	8.8	8.8	2.0	2.5	0.8	10.0	4.0	10.0	8.3	9.0	4	34
Nittaku Revspin	6.0	8.0	7.0	0.0	2.0	0.0	10.0	0.0	(not rated)	(not rated)	8.0	1	0
Nittaku RuuKing	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	21
Nittaku Skyline TG2	6.0	9.0	9.0	2.0	10.0	10.0	4.0	2.0	(not rated)	10.0	6.0	2	0
Nittaku Skyline TG3	10.0	10.0	10.0	10.0	0.0	0.0	10.0	10.0	10.0	10.0	10.0	2	0
Nittaku Soulspin Project 12 (P12)	8.9	9.2	9.1	2.0	7.3	8.0	8.0	4.0	10.0	(not rated)	9.0	3	60
Nittaku Spiral	4.5	9.0	10.0	5.0	4.0	3.0	1.0	6.0	10.0	7.0	7.0	1	25
Nittaku Tin Arc Power	9.0	8.9	9.4	5.0	6.0	7.0	7.0	4.0	10.0	5.0	8.0	1	50
Nittaku Zalt	8.6	8.6	8.7	1.6	3.6	3.2	5.8	5.6	8.0	5.8	8.5	5	30
Palio Aeolus	9.3	9.2	9.4	4.4	5.3	6.8	9.3	5.8	9.4	8.3	9.4	10	45
Palio AK 47 Blue	9.0	8.7	8.9	0.6	2.1	2.6	7.0	4.8	8.9	8.2	9.1	34	13
Palio AK 47 Red	9.3	8.7	8.7	0.6	2.6	6.4	7.0	5.0	8.5	8.1	9.1	43	25
Palio AK 47 Yellow Sponge	8.9	8.8	9.0	0.7	3.2	4.6	6.8	5.1	9.1	8.2	9.0	18	20
Palio AK47	8.5	9.1	9.3	2.0	6.0	5.0	7.0	6.0	10.0	7.0	9.1	1	16
Palio AK47 Biotech	6.5	9.3	9.0	7.7	2.0	3.3	5.5	7.3	10.0	10.0	9.5	3	14
Palio Amigo	7.2	7.3	8.6	4.4	4.0	5.0	4.8	3.5	5.0	4.8	8.0	5	10
Palio Amigo Loop	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	16
Palio Blitz	9.1	9.0	8.1	2.2	4.0	5.9	8.3	5.3	9.6	6.7	9.1	25	34
Palio CJ8000	6.8	8.9	8.4	8.0	3.0	6.5	4.0	6.0	10.0	7.0	8.7	3	10
Palio CJ8000 2-Side Loop	7.2	7.9	8.4	3.1	5.5	4.2	3.6	5.5	6.4	5.4	8.3	10	8
Palio CJ8000 2-Side Loop TensionTech	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	16
Palio CJ8000 36-38°	8.2	8.7	9.0	5.0	6.0	3.7	5.0	4.0	10.0	8.0	9.1	5	7
Palio CJ8000 38-41°	8.2	8.3	8.4	5.9	4.7	5.9	6.1	5.1	8.6	7.2	8.5	9	13
Palio CJ8000 41-45°	8.3	7.3	7.8	3.5	6.0	8.5	2.5	2.0	10.0	5.0	8.0	3	7
Palio CJ8000 Allround	7.6	7.8	7.5	9.3	7.3	8.0	4.0	6.0	2.5	6.0	6.7	4	16
Palio CJ8000 Biotech 36-38°	7.6	8.7	9.3	4.7	4.4	3.2	8.2	6.1	8.9	7.3	8.9	26	9
Palio CJ8000 Biotech 36-38° Japanese Sponge	7.8	8.9	9.4	2.4	5.3	3.5	6.5	6.2	7.2	8.3	9.0	13	12
Palio CJ8000 Biotech 39-41°	7.2	8.7	8.8	2.5	3.5	3.5	6.5	5.8	9.3	7.7	8.9	16	9
Palio CJ8000 Biotech 40-42°	8.3	8.9	9.0	2.4	5.8	5.5	7.9	7.4	7.8	7.9	8.9	10	10
Palio CJ8000 Biotech 42-44°	8.0	9.7	8.5	5.0	6.0	7.0	4.0	10.0	(not rated)	(not rated)	9.0	1	9
Palio CJ8000 Biotech 42-44° Japanese Sponge	7.7	8.9	8.3	2.0	6.3	5.8	8.3	7.3	9.3	7.4	9.2	13	12
Palio CJ8000 Extreme Balance	7.0	6.0	6.0	5.0	4.0	3.0	4.0	4.0	5.0	3.0	5.5	1	16
Palio CJ8000 Extreme Speed	8.6	8.4	9.0	2.0	2.0	5.0	10.0	4.0	5.0	7.0	(not rated)	1	16
Palio CJ8000 Extreme Spin	8.2	9.0	8.9	6.3	4.2	5.0	6.7	5.1	8.8	8.0	8.9	13	16
Palio CJ8000 Light and Fast	8.0	8.7	9.4	4.3	3.5	4.5	6.3	4.5	7.5	6.0	8.0	5	7
Palio CJ8000 Light PRO	8.8	8.5	9.5	2.0	0.0	3.0	4.0	4.0	(not rated)	3.0	8.5	1	8
Palio CJ8000 Near Table Attack and Loop	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	16
Palio CJ8000 Short Court Attack and Loop	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	16
Palio CJ8000 Speed	9.2	7.7	7.7	(not rated)	(not rated)	5.0	(not rated)	8.0	(not rated)	(not rated)	8.2	2	16
Palio CJ8000 Strength	7.3	6.9	6.9	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	7.0	1	16
Palio Conqueror	7.0	7.0	9.0	5.0	4.0	7.0	7.0	4.0	10.0	7.0	8.0	1	25
Palio Drunken Dragon	8.0	7.5	7.4	6.5	6.5	8.8	3.0	5.0	7.5	9.3	8.5	5	8
Palio Drunken Dragon 40+	8.7	8.8	8.0	3.5	3.0	3.0	4.0	5.0	10.0	(not rated)	7.8	2	25
Palio Emperor Dragon	7.9	9.1	9.2	5.9	5.3	9.5	7.9	4.3	10.0	7.8	9.1	10	9
Palio Emperor Dragon Biotech	8.2	9.1	8.3	6.5	8.0	7.0	5.5	8.0	10.0	7.0	8.6	2	12
Palio Hadou 2046	8.8	7.9	7.0	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	8.2	2	3
Palio Hadou 2049	9.4	7.5	7.0	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	8.6	2	3
Palio Hadou 40+	9.0	9.2	9.2	4.2	5.3	6.5	7.9	4.9	10.0	7.9	9.3	16	20
Palio Hadou Biotech	8.9	9.4	9.0	7.1	5.7	7.3	7.4	6.8	6.7	4.0	8.6	12	21
Palio Hadou GP	7.6	8.0	7.5	5.0	6.0	6.0	(not rated)	6.0	(not rated)	(not rated)	7.5	2	2
Palio Hadou Japan Sponge 42-44	9.3	9.5	9.5	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	1	12
Palio Hadou TensionTech	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	3
Palio Hadou Whirlwind	8.0	9.0	8.0	10.0	6.0	10.0	7.0	4.0	5.0	10.0	9.0	1	4
Palio Hidden Dragon	8.0	9.0	8.7	2.6	5.4	4.4	5.5	6.0	3.8	5.5	8.8	9	14
Palio Hidden Dragon 40+	8.1	7.7	8.8	0.0	4.7	3.7	6.0	3.3	8.3	7.3	8.1	3	22
Palio Hidden Dragon Biotech	8.3	8.8	9.0	0.5	4.9	4.4	7.0	5.8	8.8	6.8	9.0	12	12
Palio Hidden Dragon Biotech Upgrade	8.2	9.0	9.3	0.0	6.0	4.5	6.3	6.0	10.0	7.3	8.7	5	12
Palio HK1997 Biotech	8.3	8.7	8.9	2.1	4.4	4.5	7.0	4.5	7.3	8.3	8.9	19	27
Palio HK1997 Gold	9.0	9.0	9.0	3.0	4.3	5.8	6.5	4.8	8.3	8.1	9.1	14	12
Palio HK1997 Speed	9.2	8.3	8.3	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	8.6	1	14
Palio HK1997 Spin	8.3	9.5	8.3	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	8.6	2	16
Palio Macro	7.3	7.5	7.8	1.0	4.0	2.5	7.0	6.0	10.0	6.0	8.5	2	39
Palio Macro Era	9.3	8.6	8.5	1.7	3.9	4.3	8.4	4.3	9.3	5.6	9.2	36	25
Palio Macro Pro	8.3	8.2	7.7	2.6	2.4	2.6	6.3	6.4	8.0	3.4	8.2	8	30
Palio Maximo	8.3	9.3	8.5	2.0	3.0	3.5	7.0	6.0	10.0	5.0	8.5	2	40
Palio The Way 40+	8.6	9.4	9.4	2.8	6.7	6.5	8.5	4.0	8.8	10.0	9.4	4	15
Palio Thors	8.7	9.3	8.4	6.4	6.7	8.1	8.0	5.0	9.1	7.3	9.0	45	30
Palio Wildish Dragon	8.9	9.0	9.2	6.5	6.0	7.0	4.0	5.0	(not rated)	5.0	8.2	6	14
PimplePark Cluster	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	33
PimplePark Epos	7.0	9.0	9.0	8.0	4.0	5.0	4.0	6.0	10.0	5.0	8.5	2	33
PimplePark Wobbler	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Prasidha Ambawa	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
Prasidha Frankfurt	8.0	8.0	9.0	2.0	4.0	0.0	4.0	4.0	10.0	3.0	8.4	1	0
Prasidha Osaka	8.5	8.0	9.0	5.0	6.0	7.0	7.0	6.0	(not rated)	(not rated)	8.2	1	0
Prasidha Tokyo Zentec	9.1	9.8	9.9	2.0	2.0	7.5	10.0	5.0	10.0	8.5	9.4	2	90
Prasidha Twister	8.0	8.7	8.3	3.0	3.3	2.5	4.0	5.0	8.3	3.0	8.2	3	5
Reactor Ckylin	6.4	8.6	8.8	3.5	4.0	6.0	7.0	4.0	7.5	7.0	7.7	2	14
Reactor Ckylin Blue Sponge	8.9	8.6	8.2	3.5	4.0	5.0	8.5	3.0	10.0	10.0	8.9	2	15
Reactor Ckylin New (Blue Sponge)	8.0	8.0	8.3	5.0	4.0	3.1	4.0	3.0	9.0	5.8	8.3	10	11
Reactor Corbor	7.1	8.7	8.9	7.0	5.7	6.5	6.4	5.6	8.6	7.3	8.5	28	5
Reactor CORBOR (white Pack)	7.5	8.3	9.0	2.0	4.0	5.0	4.0	4.0	10.0	5.0	8.0	1	8
Reactor Corbor Pro	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	5
Reactor Novar	7.1	9.2	9.2	7.0	5.5	5.5	7.8	5.0	8.8	6.0	8.8	4	10
Reactor Thunder	8.9	8.9	8.7	6.7	5.9	7.0	7.0	5.3	9.1	7.8	9.0	22	12
Reactor Tornado	7.9	9.2	8.2	6.6	4.4	7.0	6.3	5.6	10.0	7.8	8.4	5	15
Sanwei A+ Lightwei	4.0	8.5	7.0	8.0	2.0	3.0	7.0	8.0	0.0	7.0	6.0	1	29
Sanwei A+ LightWEI	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	29
Sanwei Black A+	9.2	8.9	9.0	5.0	4.0	5.0	7.0	6.0	10.0	6.0	9.1	2	35
Sanwei Gears	7.7	8.8	9.3	5.2	4.6	3.5	9.4	5.6	7.5	7.0	8.7	13	16
Sanwei Rings Link	7.8	8.8	9.0	4.0	6.0	5.7	6.0	7.3	10.0	5.0	8.4	3	20
Sanwei T88	8.7	8.7	8.7	5.0	7.0	5.7	7.0	6.0	7.5	4.0	7.9	3	14
Sanwei T88 TAIJI	7.0	7.5	9.0	3.0	4.7	4.3	8.0	3.3	8.3	9.0	7.3	3	12
Sanwei T88-I	8.3	8.5	8.5	4.6	9.1	7.9	8.0	7.6	7.1	7.1	8.5	36	9
Sanwei T88-I Light	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	28
Sanwei T88-II	7.4	8.0	7.6	7.7	8.0	6.0	7.0	4.0	3.3	5.0	8.3	5	12
Sanwei T88-III	8.1	8.8	9.0	5.3	4.6	4.7	6.6	7.1	6.4	7.5	8.7	8	15
Sanwei T88-III 2	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	1	15
Sanwei Taiji Plus	7.0	7.8	8.9	5.0	6.0	1.5	4.0	5.0	10.0	7.0	8.0	2	18
Sanwei Target	8.3	7.8	7.7	5.0	5.3	7.0	8.0	4.0	10.0	7.0	8.6	3	12
Sanwei Target Europe 40+	8.7	8.4	8.3	2.0	8.7	5.7	6.0	5.3	10.0	7.0	8.2	3	31
Sanwei Target National	8.7	9.4	9.1	7.3	7.6	6.7	9.1	5.1	8.3	8.1	9.1	19	25
Sanwei Target Provincial	8.5	9.5	9.4	8.0	6.0	6.3	10.0	5.3	10.0	8.3	8.9	3	18
Sanwei Ultraspin T88	9.0	8.4	8.8	3.3	6.7	6.3	6.0	3.3	8.3	5.7	8.4	3	12
Sanwei White A+	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	17
Sauer & Troger Secret Flow	8.2	8.5	8.8	3.5	3.3	5.0	8.5	5.0	10.0	8.3	9.9	3	38
Sauer & Troger Secret Flow Chop	6.6	8.9	9.0	3.8	4.5	4.5	5.5	5.5	10.0	8.5	8.7	4	32
Sauer & Troger Super Stop	4.0	2.0	8.5	0.0	0.0	5.0	4.0	0.0	(not rated)	(not rated)	9.0	2	35
Se7en 7.01i	9.1	8.9	8.9	2.0	4.0	5.0	9.0	3.3	10.0	7.3	9.3	3	30
Skitt Red Devils	9.0	7.0	8.5	0.0	4.0	5.0	4.0	6.0	5.0	5.0	8.8	1	9
Skitt Sniper	8.8	9.2	7.7	8.0	8.0	3.0	4.0	6.0	5.0	5.0	9.0	1	8
Skitt Terminator	8.8	9.0	9.0	5.0	2.0	3.0	7.0	8.0	10.0	5.0	9.0	1	14
Soulspin Project 16	9.5	9.5	9.0	0.0	6.0	7.0	10.0	4.0	(not rated)	(not rated)	9.5	1	0
Soulspin Project 16 ST	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	0
SpinLord Adler	6.0	7.0	9.5	0.0	2.0	0.0	4.0	3.0	10.0	7.0	9.0	2	17
SpinLord Adler II	7.5	7.5	9.8	1.0	2.0	0.0	2.5	2.0	(not rated)	6.0	8.5	2	18
SpinLord Gigant	4.0	2.0	9.0	0.0	0.0	0.0	(not rated)	(not rated)	(not rated)	(not rated)	7.0	1	22
SpinLord Irbis	8.2	8.3	8.0	1.0	4.0	3.0	10.0	3.0	7.5	(not rated)	8.5	2	30
SpinLord Irbis II	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	24
SpinLord Marder	6.7	8.6	9.2	4.0	3.3	2.8	5.9	3.5	8.1	7.5	8.9	11	20
SpinLord Marder II	7.6	8.7	9.1	4.3	3.5	5.0	6.3	4.7	8.1	6.8	8.9	13	25
SpinLord Marder III	8.1	9.0	9.1	5.0	4.0	2.5	5.5	4.0	10.0	7.5	9.0	2	30
SpinLord Marder IV	9.0	7.0	7.0	5.0	6.0	7.0	7.0	4.0	10.0	7.0	8.0	1	24
SpinLord Sandwind	5.5	6.0	10.0	0.0	6.0	10.0	7.0	4.0	5.0	10.0	8.2	1	22
SpinLord Tanuki	7.7	7.2	8.6	2.0	3.0	5.0	10.0	4.0	10.0	5.0	8.9	3	48
SpinLord Tiger	8.3	7.9	8.2	2.6	4.0	6.6	8.2	5.3	10.0	7.0	9.2	8	25
Spintech Dynasty Platinum	10.0	9.0	7.0	0.0	2.0	3.0	1.0	0.0	10.0	5.0	7.0	2	45
Stag All Round	8.5	9.0	8.0	5.0	2.0	7.0	1.0	10.0	10.0	5.0	8.0	1	12
Stag Championship	8.2	8.8	9.0	2.0	4.0	5.0	7.0	4.0	10.0	7.0	9.0	1	12
Stag Explosive	9.0	7.5	7.5	5.0	5.0	5.0	7.0	7.0	5.0	5.0	8.0	2	12
Stag International	9.0	9.0	9.0	2.0	4.0	5.0	10.0	4.0	10.0	10.0	9.1	1	14
Stag Ninja Attack	9.1	9.2	8.3	5.7	6.0	5.3	6.0	6.0	6.7	7.3	8.1	4	8
Stag Peter Karlsson	8.5	7.6	8.8	2.7	4.0	4.6	8.3	5.3	6.4	7.7	8.4	8	45
Stag Power Drive Plus	8.5	9.5	9.5	5.0	4.0	5.0	10.0	3.0	10.0	10.0	9.7	2	16
Stag Thunder Spin	7.9	8.1	7.3	2.0	3.2	2.7	8.5	4.3	7.0	6.3	7.4	6	12
Stiga Airoc Astro M	9.0	8.6	8.4	3.2	5.8	5.5	6.0	4.9	8.8	6.4	8.7	11	60
Stiga Airoc Astro S	8.9	9.1	8.8	4.6	4.0	3.9	7.2	5.1	8.7	7.0	9.1	15	55
Stiga Airoc M	9.0	9.2	8.7	2.1	5.5	5.5	6.5	5.5	8.0	6.8	8.9	15	56
Stiga Airoc S	8.5	9.1	9.3	4.5	4.1	2.5	7.8	5.8	8.2	7.7	9.2	24	54
Stiga Almana	9.1	8.3	7.9	2.2	4.7	6.7	7.3	4.8	7.5	7.6	9.1	17	32
Stiga Almana Sound	9.1	8.5	7.4	2.1	4.0	4.0	5.0	5.0	7.5	5.0	8.4	8	32
Stiga Almana Sound SynergyTech	9.5	8.7	8.7	2.9	3.4	3.5	6.1	3.4	8.3	5.6	9.0	16	39
Stiga Boost TC	8.7	8.4	8.2	2.0	2.6	1.7	6.5	4.7	7.9	5.8	8.8	39	50
Stiga Boost TP	8.9	8.7	8.4	2.5	4.2	5.6	7.5	2.8	7.9	6.8	8.9	13	58
Stiga Boost TS	8.9	8.9	8.7	2.4	2.6	1.3	7.7	4.1	8.4	7.1	8.9	50	50
Stiga Boost TX	9.3	9.0	8.5	2.0	3.2	5.2	8.3	3.8	8.5	7.8	9.3	46	55
Stiga Calibra LT	9.3	9.2	8.9	4.5	5.8	7.3	8.5	6.5	8.9	7.5	9.3	75	53
Stiga Calibra LT Plus	9.5	9.1	8.7	3.5	6.0	8.2	8.7	5.9	8.3	7.3	9.3	32	52
Stiga Calibra LT Sound	9.1	8.7	8.5	2.0	2.7	1.8	7.8	4.4	8.3	6.9	8.8	62	53
Stiga Calibra LT Spin	9.1	9.2	9.0	2.5	3.5	3.6	8.7	4.7	9.0	6.3	9.2	41	40
Stiga Calibra Tour H	9.4	8.3	8.0	0.4	5.0	8.0	7.0	4.0	9.2	6.8	8.6	7	49
Stiga Calibra Tour M	9.2	8.6	8.7	0.5	4.0	5.5	6.8	3.6	8.1	6.9	8.8	16	50
Stiga Calibra Tour S	8.9	8.8	8.6	0.3	2.4	2.9	8.9	3.8	7.5	6.5	8.7	10	55
Stiga Carbo	8.4	7.9	8.3	3.5	2.8	5.0	4.0	3.0	9.0	6.0	8.3	8	18
Stiga Carbo MC	8.2	8.7	9.0	5.5	2.5	2.8	6.4	6.5	7.5	6.3	9.1	6	33
Stiga Carbo Sound	9.2	8.6	9.1	2.1	3.6	3.8	6.3	4.1	8.9	8.2	9.0	22	36
Stiga China Extreme	7.0	9.2	7.9	7.8	5.4	6.6	7.0	4.7	8.1	5.6	7.4	12	29
Stiga Chop & Drive	6.4	9.0	9.0	5.8	4.6	3.9	6.3	5.2	9.1	7.4	8.6	16	25
Stiga Cobra 2000	6.9	7.2	8.6	1.9	3.8	3.8	4.7	3.1	8.3	6.6	7.5	10	30
Stiga Drive	6.2	6.3	7.6	4.7	5.0	5.9	5.5	4.0	6.4	5.8	7.1	10	0
Stiga Energy Absorber (Anti-spin)	6.0	2.9	8.1	2.0	4.8	5.0	5.2	3.6	7.0	7.8	8.0	6	28
Stiga Evo	8.0	7.6	8.4	2.0	3.6	4.3	6.4	4.8	8.5	7.0	8.1	17	25
Stiga Genesis II M	9.4	9.6	8.5	8.0	8.0	7.0	10.0	4.0	5.0	7.0	8.8	2	46
Stiga Genesis II S	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	(not rated)	0	56
Stiga Genesis M	8.9	9.0	8.7	4.8	6.0	6.9	7.4	5.6	8.3	7.8	8.8	19	45
Stiga Genesis S	8.7	9.3	9.3	4.1	5.3	4.1	7.0	5.4	7.1	7.6	9.2	15	45
Stiga Innova	7.9	8.2	8.8	1.8	2.6	3.6	8.2	3.6	7.5	5.3	8.2	7	31
Stiga Innova Premium	7.0	6.3	6.0	2.3	5.3	5.7	6.0	4.0	7.5	6.7	7.5	4	34
Stiga Innova Ultra Light	8.3	8.1	8.8	1.7	0.6	1.3	7.0	3.3	9.0	6.9	8.4	15	31
Stiga Innova Ultra Light SynergyTech	7.9	7.9	8.4	2.6	0.5	2.3	4.6	4.0	8.5	6.5	8.2	22	37
Stiga Magna	8.4	8.7	8.0	4.0	4.5	5.5	5.0	4.8	7.9	5.9	8.5	14	37
Stiga Magna TC II (2)	8.9	8.4	8.6	2.8	3.1	4.2	7.5	4.0	8.9	7.0	8.8	19	40
Stiga Magna TS II (2)	8.2	8.5	8.4	1.3	2.3	2.3	7.0	4.6	7.5	4.7	8.6	7	40
Stiga Magna TX	9.5	9.3	8.8	2.9	3.4	6.2	8.0	4.6	10.0	9.1	9.3	15	55
Stiga Mantra H	9.5	9.2	8.9	2.1	5.6	8.9	7.7	5.2	7.8	7.5	9.2	11	45
Stiga Mantra M	9.0	9.0	8.7	1.3	4.4	4.9	8.1	5.3	9.3	6.9	9.1	16	47
Stiga Mantra S	8.8	9.1	9.2	3.7	4.3	3.2	7.0	4.3	8.0	6.6	9.2	6	50
Stiga Mendo	7.4	7.6	7.8	1.8	4.0	3.8	6.6	4.5	7.5	7.0	8.2	10	30
Stiga Mendo Energy	7.7	7.9	8.1	4.4	3.4	2.7	7.3	2.9	7.5	7.3	8.2	11	28
Stiga Mendo MP	8.5	7.9	7.7	0.9	4.2	5.6	5.4	1.6	7.8	4.4	8.4	12	33
Stiga Neos	8.4	7.7	7.6	4.1	5.7	5.7	9.4	5.7	8.0	5.5	7.7	8	24
Stiga Neos Sound	8.4	7.0	7.9	2.9	2.2	2.5	4.5	3.4	8.0	6.4	7.8	14	37
Stiga Neos Sound SynergyTech	8.5	8.6	8.3	1.3	2.3	2.3	7.6	4.0	8.3	5.7	8.6	10	45
Stiga Neos SynergyTech	8.0	8.3	8.0	5.0	3.7	4.4	6.5	5.3	6.7	8.7	7.8	7	50
Stiga Neos Tacky	7.6	9.1	9.1	7.5	2.5	4.5	7.1	6.2	9.0	6.1	9.0	31	37
